          ,,   移動出荷指示取込一覧                                                      ,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,,,,,,,,,,,,,
受信日,20150424,910,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,,,,
企業コード,出荷指示№,出荷予定日,倉庫コード,出荷店コード,店舗名,BR,品番,  カラー,サイズ,数量,ＰＢ区分,上代単価,下代単価,理由名称,配分理由区分,オペレータＣＤ,データ作成日,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                     
10,11598,20150424,39,14815,ＳＣららぽーと和泉　　　　　　　　　　　　　　　　　　　　　,48,1320105112,30,0,3,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11598,20150424,39,14815,ＳＣららぽーと和泉　　　　　　　　　　　　　　　　　　　　　,48,1320105112,41,0,2,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11603,20150424,39,14815,ＳＣららぽーと和泉　　　　　　　　　　　　　　　　　　　　　,48,1510140011,81,0,1,1,9800,9800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11604,20150424,39,10,本社（店舗運営部）　　　　　　　　　　　　　　　　　　　　　,3,1510170212,60,0,1,1,25000,25000,客注分               ,1002,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11605,20150424,39,10109,ＳＴＤＸ表参道ＧＡＴＥＳ店　　　　　　　　　　　　　　　　　,3,1320135093,86,0,5,1,35000,35000,客注分               ,1002,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11606,20150424,39,10125,ＳＴＤＸ仙台パルコ店　　　　　　　　　　　　　　　　　　　　,3,1510170042,10,0,2,1,35000,35000,客注分               ,1002,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11606,20150424,39,10125,ＳＴＤＸ仙台パルコ店　　　　　　　　　　　　　　　　　　　　,3,1510170042,22,0,1,1,35000,35000,客注分               ,1002,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11606,20150424,39,10125,ＳＴＤＸ仙台パルコ店　　　　　　　　　　　　　　　　　　　　,3,1510170042,23,0,1,1,35000,35000,客注分               ,1002,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,0,0,1,1,21000,21000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,0,0,5,1,21000,21000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,10,0,1,1,21000,21000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,10,0,5,1,21000,21000,５０％ＯＦＦ         ,2006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11608,20150424,39,19205,株主優待販売会　　　　　　　　　　　　　　　　　　　　　　　,3,1420155111,20,0,1,1,21000,21000,５０％ＯＦＦ         ,1006,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
